Name,Category,Day,NrOfSegments(Russ),NrOfBranchingPoints(Russ),NrOfLoops,NrOfLoopsNormalised,NrOfLoops/Segment,NrOfLoops/SegmentNormalised,NrOfLoopsI1,NrOfLoopsI2,NrOfLoopsI3,NrOfLoopsI4,NrOfLoopsI5,NrOfLoopsI1Normalised,NrOfLoopsI2Normalised,NrOfLoopsI3Normalised,NrOfLoopsI4Normalised,NrOfLoopsI5Normalised,NrOfLoopsI1/Segment,NrOfLoopsI2/Segment,NrOfLoopsI3/Segment,NrOfLoopsI4/Segment,NrOfLoopsI5/Segment,NrOfLoopsI1Normalised/Segment,NrOfLoopsI2Normalised/Segment,NrOfLoopsI3Normalised/Segment,NrOfLoopsI4Normalised/Segment,NrOfLoopsI5Normalised/Segment,NrOfShortBars,NrOfShortBars/Segment,NrOfShortBarsNormalised,NrOfShortBars/SegmentNormalised,MedianPersistenceDim2,MedianPersistenceDim2Normalised,Radius1000,Radius,RadiusNormalised,CountNormalised,AvgDiameterNormalised,MaxDiameterNormalised,AvgLengthNormalised,MaxLengthNormalised,AvgClrNormalised,AvgSOAMNormalised,LengthDiamRatioNormalised,NrOfSegments(Russ)Normalised,NrOfBranchingPoints(Russ)Normalised
24_2A,Dll4,1,2520,2587,138,3.631578947,0.054761905,1.622681699,13,30,33,43,19,2.166666667,2.307692308,3,6.142857143,19,0.0915,0.0498,0.0352,0.0299,0.0176,0.01525,1.177304965,1.708737864,2.265151515,10.35294118,1600,0.6349,2.053915276,0.9177,0.4955,0.500505051,2.8132,2813.2,0.973459289,2.238010657,0.962143076,1.208542588,1.001644082,1.393523336,1.056255609,0.94236543,1.041055231,2.238010657,1.983895706
24_2A,Dll4,2,1497,1541,84,2.210526316,0.056112224,1.662693783,5,20,27,20,12,0.833333333,1.538461538,2.454545455,2.857142857,12,0.8333,0.0419,0.0375,0.0273,0.0157,0.138883333,0.990543735,1.82038835,2.068181818,9.235294118,1104,0.7375,1.41720154,1.066,0.606,0.612121212,2.7094,2709.4,0.937541091,1.329484902,1.118795898,0.904088552,1.04903055,1.541851734,1.035541297,1.001084055,0.937642471,1.329484902,1.181748466
24_2A,Dll4,3,8511,7835,856,22.52631579,0.100575726,2.980217543,52,149,261,282,112,8.666666667,11.46153846,23.72727273,40.28571429,112,0.0985,0.0733,0.0668,0.0644,0.0271,0.016416667,1.73286052,3.242718447,4.878787879,15.94117647,5731,0.6734,7.356867779,0.9733,0.94,0.949494949,3.996,3996,1.382746808,7.558614565,1.403502283,2.500705527,1.077915136,1.957569007,1.003577263,1.003357592,0.768018086,7.558614565,6.008435583
24_2A,Dll4,4,8751,8123,844,22.21052632,0.09644612,2.857850798,76,173,225,276,94,12.66666667,13.30769231,20.45454545,39.42857143,94,0.1333,0.1006,0.0669,0.0602,0.0226,0.022216667,2.378250591,3.247572816,4.560606061,13.29411765,5307,0.6064,6.812580231,0.8766,0.815,0.823232323,4.0177,4017.7,1.390255718,7.771758437,1.245980053,1.769747363,1.067456658,1.560314458,1.041602413,0.964787826,0.856720503,7.771758437,6.229294479
29_2D,Dll4,0,1157,1464,36,1,0.031114952,1,7,9,17,2,1,1,1,1,1,1,0.1458,0.0214,0.0268,0.004,0.0015,1,1,1,1,1,810,0.7001,1,1,1.21,1,3.4538,3453.8,1,1,1,1,1,1,1,1,1,1,1
29_2D,Dll4,1,1731,1879,61,1.694444444,0.035239746,1.132566298,13,16,22,6,4,1.857142857,1.777777778,1.294117647,3,4,0.1008,0.0252,0.0272,0.0074,0.0043,0.691358025,1.177570093,1.014925373,1.85,2.866666667,1291,0.7458,1.59382716,1.0653,1.31,1.082644628,2.6365,2636.5,0.763362094,1.496110631,1.039003697,1.067743646,0.999711425,1.191994144,1.009284191,0.9777622,0.962182741,1.496110631,1.283469945
29_2D,Dll4,2,1880,2049,84,2.333333333,0.044680851,1.435992927,8,32,34,7,3,1.142857143,3.555555556,2,3.5,3,0.0597,0.0614,0.0377,0.0081,0.003,0.409465021,2.869158879,1.406716418,2.025,2,1221,0.6495,1.507407407,0.9277,0.69,0.570247934,2.5439,2543.9,0.736551045,1.624891962,0.999181637,1.215490446,0.997337609,1.325764417,1.062390276,0.962386757,0.998154461,1.624891962,1.399590164
29_2D,Dll4,3,2813,2803,187,5.194444444,0.066477071,2.13649923,26,57,63,29,12,3.714285714,6.333333333,3.705882353,14.5,12,0.1281,0.0658,0.0506,0.02,0.0088,0.878600823,3.074766355,1.888059701,5,5.866666667,1983,0.7049,2.448148148,1.0069,1.041,0.860330579,3.1143,3114.3,0.901702473,2.431287813,1.403415132,1.716647466,1.034767429,1.348618088,1.039908875,0.973953974,0.737320987,2.431287813,1.914617486
29_2D,Dll4,4,6290,6178,488,13.55555556,0.077583466,2.493446431,75,128,165,82,38,10.71428571,14.22222222,9.705882353,41,38,0.0968,0.0492,0.0532,0.0258,0.0122,0.663923182,2.299065421,1.985074627,6.45,8.133333333,3062,0.4868,3.780246914,0.6953,0.83,0.685950413,4.7575,4757.5,1.377468296,5.436473639,1.22900348,1.681387408,0.955074512,1.230843255,1.067816366,0.982115962,0.777112944,5.436473639,4.219945355
18_2D,IR,0,519,569,36,1,0.069364162,1,6,17,8,3,2,1,1,1,1,1,0.0387,0.0702,0.0329,0.0112,0.008,1,1,1,1,1,335,0.6455,1,1,0.57,1,3.6897,3689.7,1,1,1,1,1,1,1,1,1,1,1
